date,health_reg_name,admissions,respiratory
2020-05-20,Sør-Øst,38,10
2020-05-21,Sør-Øst,31,8
2020-05-22,Sør-Øst,35,7
2020-05-23,Sør-Øst,26,6
2020-05-24,Sør-Øst,29,6
2020-05-25,Sør-Øst,31,7
2020-05-26,Sør-Øst,29,5
2020-05-27,Sør-Øst,29,6
2020-05-28,Sør-Øst,30,6
2020-05-29,Sør-Øst,24,4
2020-05-30,Sør-Øst,23,3
2020-05-31,Sør-Øst,23,3
2020-06-01,Sør-Øst,23,3
2020-06-02,Sør-Øst,26,3
2020-06-03,Sør-Øst,23,3
2020-06-04,Sør-Øst,25,3
2020-06-05,Sør-Øst,18,3
2020-06-08,Sør-Øst,18,2
2020-06-09,Sør-Øst,17,2
2020-06-10,Sør-Øst,14,2
2020-06-11,Sør-Øst,11,2
2020-06-12,Sør-Øst,12,3
2020-06-15,Sør-Øst,16,4
2020-06-16,Sør-Øst,16,4
2020-06-17,Sør-Øst,15,4
2020-06-18,Sør-Øst,15,4
2020-06-19,Sør-Øst,16,4
2020-06-22,Sør-Øst,12,4
2020-06-23,Sør-Øst,11,3
2020-06-24,Sør-Øst,15,3
2020-06-25,Sør-Øst,17,3
2020-06-26,Sør-Øst,19,4
2020-06-29,Sør-Øst,15,2
2020-06-30,Sør-Øst,15,1
2020-07-01,Sør-Øst,14,1
2020-07-02,Sør-Øst,16,1
2020-07-03,Sør-Øst,11,2
2020-07-06,Sør-Øst,8,2
2020-07-07,Sør-Øst,6,2
2020-07-08,Sør-Øst,6,2
2020-07-09,Sør-Øst,6,1
2020-07-10,Sør-Øst,4,1
2020-07-13,Sør-Øst,6,0
2020-07-14,Sør-Øst,6,0
2020-07-15,Sør-Øst,4,0
2020-07-16,Sør-Øst,5,0
2020-07-17,Sør-Øst,7,0
2020-07-20,Sør-Øst,8,1
2020-07-21,Sør-Øst,5,1
2020-07-22,Sør-Øst,2,1
2020-07-23,Sør-Øst,2,1
2020-07-24,Sør-Øst,3,1
